weak	16	1024	2	0.00038662	0.000533509	0.00109959	0.000676107	0.000682943	0.000688934	0.0111349	0.0111364	0.0111372	2.44108	2.44112	2.44115	0.000530732	0.00120026	0.0018908	5.20059e-06	5.48544e-06	5.78534e-06	6.25895e-07	6.51003e-07	6.74441e-07	0.000119898	0.000120208	0.000120929	7.50348e-06	7.5229e-06	7.56995e-06	
TACC:  Shutdown complete. Exiting. 

TACC:  Starting up job 3268034 
TACC:  Starting parallel tasks... 

===================================================================================
=   BAD TERMINATION OF ONE OF YOUR APPLICATION PROCESSES
=   PID 126084 RUNNING AT c491-044
=   EXIT CODE: 11
=   CLEANING UP REMAINING PROCESSES
=   YOU CAN IGNORE THE BELOW CLEANUP MESSAGES
===================================================================================
   Intel(R) MPI Library troubleshooting guide:
      https://software.intel.com/node/561764
===================================================================================
TACC:  MPI job exited with code: 11 
TACC:  Shutdown complete. Exiting. 

TACC:  Starting up job 3268034 
TACC:  Starting parallel tasks... 
msgPrefix	npes	pts_per_core	eleOrder	sort(min)	sort(mean)	sort(max)	constr(min)	constr(mean)	constr(max)	bal(min)	bal(mean)	bal(max)	adaptive_oda(min)	adaptive_oda(mean)	adaptive_oda(max)	ghostexchange(min)	ghostexchange(mean)	ghostexchange(max)	topdown(min)	topdown(mean)	topdown(max)	bottomup(min)	bottomup(mean)	bottomup(max)	treeinterior(min)	treeinterior(mean)	treeinterior(max)	elemental(min)	elemental(mean)	elemental(max)	
weak	1	1024	4	0.000360656	0.000360656	0.000360656	0.000846219	0.000846219	0.000846219	0.0238668	0.0238668	0.0238668	26.9422	26.9422	26.9422	5.96046e-08	5.96046e-08	5.96046e-08	3.9545e-05	3.9545e-05	3.9545e-05	3.19281e-06	3.19281e-06	3.19281e-06	0.000737061	0.000737061	0.000737061	4.81823e-05	4.81823e-05	4.81823e-05	
TACC:  Shutdown complete. Exiting. 

TACC:  Starting up job 3268034 
TACC:  Starting parallel tasks... 
