matvecs,res_L2,res_Linf,vcycles,group_name,cells,frequency_x,frequency_y,max_depth,mesh,mesh_family,scale_x,scale_y,solver,unknowns
21,3.2312963443800103e-13,,21,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=7,16384,0.5,1.0,7,uniform(7),uniform,1.0,0.5,accelerated_amg,16641
22,7.545027901383573e-14,,22,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=7,16384,0.5,1.0,7,uniform(7),uniform,1.0,0.5,accelerated_amg,16641
23,1.7726311816530402e-14,,23,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=7,16384,0.5,1.0,7,uniform(7),uniform,1.0,0.5,accelerated_amg,16641
24,4.250298073049345e-15,,24,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=7,16384,0.5,1.0,7,uniform(7),uniform,1.0,0.5,accelerated_amg,16641
25,1.0929938581786002e-15,,25,scale=[1_0.5] freq=[0.5_1] solver=accelerated_amg mesh=uniform max_depth=7,16384,0.5,1.0,7,uniform(7),uniform,1.0,0.5,accelerated_amg,16641
0,0.21055707936240334,,0,scale=[1_0.5] freq=[0.5_1] solver=standalone_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,standalone_amg,39513
1,1.0557644147874528,,1,scale=[1_0.5] freq=[0.5_1] solver=standalone_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,standalone_amg,39513
2,0.5535719154082182,,2,scale=[1_0.5] freq=[0.5_1] solver=standalone_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,standalone_amg,39513
3,0.2723649178861216,,3,scale=[1_0.5] freq=[0.5_1] solver=standalone_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,standalone_amg,39513
4,0.13396497395659124,,4,scale=[1_0.5] freq=[0.5_1] solver=standalone_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,standalone_amg,39513
5,0.06668418581209198,,5,scale=[1_0.5] freq=[0.5_1] solver=standalone_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,standalone_amg,39513
6,0.03375128023945668,,6,scale=[1_0.5] freq=[0.5_1] solver=standalone_amg mesh=adapt interpolation=1.0e-2,40048,0.5,1.0,8,adaptive(1.0e-2),adapt,1.0,0.5,standalone_amg,39513
